Column1,name,username,verified,followers,description
28,Ruqaiya,ruqaiya_h,FALSE,26916,"writing on faith/culture & making content about the oceans 💖🌏contact: ruqaiyaharis93(at)gmail dot com
follow @hussainfndn in memory of hussain chaudhry"
523,LGSM,LGSMpride,FALSE,26184,The original Lesbians and Gay Men Support the Miners activists featured in the film PRIDE! Solidarity forever!
1009,Simon Emilio Turkas 📷,SimonTurkas,FALSE,26109,"Nature & Travel Photographer https://t.co/yn9UFr1Gzk | @LumixUK S5 | 
Blog: https://t.co/EsnQtIZi5Z | Support my work here: https://t.co/4MWVaCmTtf"
2895,Simon Emilio Turkas 📷,SimonTurkas,FALSE,26109,"Nature & Travel Photographer https://t.co/yn9UFr1Gzk | @LumixUK S5 | 
Blog: https://t.co/EsnQtIZi5Z | Support my work here: https://t.co/4MWVaCmTtf"
2781,Steve 🐟🎩🍅🇬🇷🇪🇺 💙 #European,poorscousertom,FALSE,24901,🐟 Commissioner👨‍💼 Father to 4 boys👬👬 Travel ✈️ Liverpool F.C 🏆 Traitor 😆NGHFB 🎸Curb 😂 Ted Talks 💡 #Podcasts #YNWA 🕯 @Poorscousertom@Mastodonapp.uk
299,Stephen JBL,StephenJBL,FALSE,24621,"Interested in FOSS, business, finance, cybersecurity, politics & carpentry | RTs, Follows, & Likes ≠ Endorsements"
157,Dr Megan Smith,megs1970,FALSE,24043,"NHS consultant anaesthetist, barrister, director @everydoctoruk with @jujuliagrace & @drmusical. Not for profit NHS. Access to healthcare = a basic human right."
724,Thomas Evans ♿,ThomasEvansAdur,FALSE,23261,"Sussex ~
Dad ~
Political ~
Historical interests ~
@Conservatives member ~
Pro-Monarchy ~
Disabled ~
Religious ~
Anti House of Lords ~
Trains ~
Football"
2167,redsarah99🇵🇸 #BlackLivesMatter,redsarah99,FALSE,22975,#FreeAssange
3338,redsarah99🇵🇸 #BlackLivesMatter,redsarah99,FALSE,22975,#FreeAssange
947,Mrs Gee #UpTheWorkers,earthygirl011,FALSE,22193,"There must be some kind of way outta here
Said the joker to the thief
There's too much confusion
I can't get no relief

#PAL"
2532,Junior Doctors,BMA_JuniorDocs,FALSE,22037,We represent junior doctors across the UK - @TheBMA
2076,Gareth Dennis (is on pat leave),GarethDennis,FALSE,21643,Rail engineer and writer. Hosts @RailNatter. Associate @OpenInnovates. Lecturer @BCRRE/@PWInstitution. Co-founder @LevelBoarding. Chair @RailEngineers. He/him.
1990,xanthus stan account,tobikyere,FALSE,21397,producer. south london babe. views all mine. she/her/that bitch.
549,Nanana Rathabe,NthabiWabi,FALSE,20981,pro water bender | long & tight hugs | pinky promises | potatoes | a fan
3112,Edzard Ernst,EdzardErnst,FALSE,20945,"Ex-musician, physician, scientist (H-Index = 157) blogger (https://t.co/YEiKnZYzZF), tri-lingual author, currently also a columnist for DIE WELT + L'EXPRESS"
1883,Sarah Manavis,sarahmanavis,TRUE,20652,American writer and columnist @newstatesman.  It’s muh-NAH-viss.
1878,Sarah 🚩 #WearAMaskYouStupidBastards,sazmeister88,FALSE,19306,"the small, purple-haired Jones • antifascista socialista🚩🇵🇸 • sporadic writer of mental health & 🇮🇹🇪🇺 travel blogs • yvette cooper hate account • she/her"
2646,Ben Sellers,MrBenSellers,FALSE,19137,"“Money speaks for money, the devil for his own. Who comes to speak for the skin & the bone?”"
1933,Matthew Curtis,totalcurtis,FALSE,18663,"Beer guy. Writer, photographer, co-founder @Pelliclemag. He/Him."
818,Martin Murray🌸,martinpmurray,FALSE,18256,"ex Owner + MD of UK's longest-running (same owner) Nightclub
Silks/Snoopy's Cannock
Lobbying for Hospitality to #SaveNightLife 
 https://t.co/Z9ox2MnboB"
176,Professor Lucy Easthope,LucyGoBag,FALSE,18208,"Disaster Wild Card. Co-Founder, After Disaster Network. Author - Sunday Times Bestseller 'When The Dust Settles'"
64,𝗟𝗜𝗡𝗔,agirlcalledlina,FALSE,18183,dog person • never knowingly sauceless or boring • she/her/hers • heavy tweeter • Hellenic ballache
3107,Segun Olusanya (He/Him) iceman_ex@critcare.social,iceman_ex,FALSE,17598,Husband to @monanniecakes| Intensivist @nhsbartshealth| Ultrascoundrel |#FOAMed|@thosewecarry|@ics_updates|@wicsbottomline|@esicm|@tea_empathynhs| 🇳🇬
1471,Dr Peter Dilworth 💙 #Woke #GTTO 😷,PeterDilworth1,FALSE,17538,"NHS GP, struck back on register AGAIN. Hate inequality. Seriously anti Brexit Tories GOP. Socialist. #Resist #GTTO #rejoinEU @PeterDilworth@mastodon.online"
3304,Dr Peter Dilworth 💙 #Woke #GTTO 😷,PeterDilworth1,FALSE,17538,"NHS GP, struck back on register AGAIN. Hate inequality. Seriously anti Brexit Tories GOP. Socialist. #Resist #GTTO #rejoinEU @PeterDilworth@mastodon.online"
3048,Derek Meers 🇵🇸 🇨🇮🍀セルティック,DerekMeers,FALSE,17126,"I am a 360 Excavator Operator from Glasgow, Scotland. #Excavators #rebelforlife #vw"
970,#SupportPalestine #BDS #Yemen #Kashmir #Assange,ChristineJameis,FALSE,16769,"Socialist for: NHS, Climate protection, renewable energy, #FreeAssange and against wars, poverty, inequality, racism, factory farming + animal experimentation."
791,#SupportPalestine #BDS #Yemen #Kashmir #Assange,ChristineJameis,FALSE,16769,"Socialist for: NHS, Climate protection, renewable energy, #FreeAssange and against wars, poverty, inequality, racism, factory farming + animal experimentation."
1916,Kate Devlin,drkatedevlin,TRUE,16713,"Reader: AI & Society @kingsdh. Writer: 📚 Turned On: Science, Sex and Robots https://t.co/O3RL9drmrI “Fairly outspoken, left-wing academic,” claim UK government."
280,Neil Channing,SenseiChanning,FALSE,16687,I'm a professional gambler. I may not be the best but I try hard to be the most professional.
1170,Damïeñ Múlley 🏳️‍⚧️,damienmulley,FALSE,16405,"I'm back. No is my default. I like words that start with C. He/Him. Email: dm AT https://t.co/OGMyNienTK ""Let's do a coffee""? Pay me. https://t.co/XQk8q8Ii0E"
589,Alom Shaha,alomshaha,TRUE,16281,"Dad. Science Teacher. Author of Why Don’t Things Fall Up? out 17/8, Mr Shaha's Recipes for Wonder, The Young Atheist's Handbook, and other books you’ll love…"
741,Dr Neil Pender BM MSc FRCP 🏳️‍🌈,DrNeilPender,FALSE,16158,"Medical Director of Willow Wood Hospice, Consultant in Palliative Medicine. VIEWS ARE MY OWN. Retweets not necessarily endorsements."
2764,Dr Neil Pender BM MSc FRCP 🏳️‍🌈,DrNeilPender,FALSE,16158,"Medical Director of Willow Wood Hospice, Consultant in Palliative Medicine. VIEWS ARE MY OWN. Retweets not necessarily endorsements."
771,Stephen Unwin,RoseUnwin,FALSE,16104,"Director, Writer, Teacher, Campaigner. Founded ETT, ran the Rose, chaired KIDS. ALL OUR CHILDREN, POOR NAKED WRETCHES, THE GOLDEN SMILE.  Learning disabilities."
84,James Roberts,jroberts332,FALSE,15906,"Writes (MTMTE, Lost Light, Starcadia Quest) and occasionally presents / Views my own, RTs not endorsements, likes definitely likes / He / Him"
1349,Jo Kaur,SikhFeminist,TRUE,15743,"A mom fighting to save my son Riaan's life, civil rights lawyer, writer, activist. Founder of @riaanresearch. Website: https://t.co/QYx1J72b9q #CureRiaan"
816,Nafisa Bakkar,NafisaBakkar,FALSE,15735,"book How to make money with @harpercollins / ceo @amaliah_tweets @halalgems wt @selina_bakkar / #forbes30under30 / speak on media, advertising + community"
1446,FatdoctorUK🏴󠁧󠁢󠁳󠁣󠁴󠁿🏳️‍⚧️🏳️‍🌈🩺,thefatdoctoruk,FALSE,15382,"Dr Asher Larmie (they/he) |
Weight inclusive Dr | Transgender | Founder of #noweigh campaign against weight stigma & fat oppression | Views my own | GMC 6077567"
17,joe,goulcher,FALSE,15368,"big old anti fascist. jew-ish, creative director on @xbox international social at @clockwork__uk. views mine obviously lol"
1748,Tom Gann,Tom_Gann,FALSE,14775,"Editor @NewSocialistNS. Machiavellian Marxist. The weakest link in every chain, I always want to find it."
2290,Tom Gann,Tom_Gann,FALSE,14775,"Editor @NewSocialistNS. Machiavellian Marxist. The weakest link in every chain, I always want to find it."
367,Nathaniel J Hall,NathanielJHall,FALSE,14672,"Theatre-maker, HIV+, Manc. @dibbytheatre #ToxicPlay #FirstTimeTour #ItsASin He/She/They. Perf enq: reece@iconactors.net Others to hello@nathanieljhall.co.uk ✌🏼"
2431,Fatima,fatimazsaid,FALSE,14580,"deficient in iron, rich in irony | koshari and ta'amiyah stan account"
2918,Cecelia *💙🌻💕Migrants Welcome 💞 🇪🇺,cernusson,FALSE,14266,"😀🍾...Champagne is always the answer!

Fellow tweeters can also find me on :
@ceceliameade@mastodonapp.uk.
(Champagne on ice & waiting 🍾🥂💕)"
2184,🇯🇲J MONEY™🇯🇲 מלכּה,jnoahmorgan,TRUE,14122,"North London babe, forbes 30 under 30 alum & journo.  Soft Life Living newsletter dropping weekly 🐸☕https://t.co/6JFuISk09O"
484,Chris,LondonGoona,FALSE,13774,
872,🏴󠁧󠁢󠁳󠁣󠁴󠁿,KieranCFC88,FALSE,13725,@celticfc
1719,Shelley Duvet,brynismyname,FALSE,13573,Le garçon à froufrousㅣFeministㅣFragheadㅣNeurodivergentㅣT4Tㅣthey/themㅣViews are my ownㅣ🔞DNI ㅣ#TransLiberationNow
1947,Mallory Moore,Chican3ry,FALSE,13475,"@trans_safety researcher.

mallory@transsafety.network

Was locked out of Twitter after grief over Brianna Ghey went viral. Email preferred.

she/her"
1013,Jim Budd #FBPE #NHSLove,jymbudd,FALSE,13260,"Drinks journalist, Loire fanatic, exposing dodgy wine investment + other wine scams, cycling, #European, #Rejoin, #winelover(mk 1) #BrexitKillsOurNHS"
1830,Seána Grant,GrantSana,FALSE,13238,"on here while it lasts for Law things 👩‍💼Interests: human rights, healthcare policy, clinical neg law, millinery and the occasional crown"
2762,Peter Merre #topicalcomedian,topicalcomedian,FALSE,13206,"comedy is now legal on twitter . assistant to the assistant chief twit. 

previous #edfringe #watfringe  #tesla #paypal #talkSPORT #SOCCERAM writer #BBC"
3157,Mag Mc43,Magmc43,FALSE,13115,"Old Labour Socialist.Share the wealth. Ever Everton. Born Everton district of Liverpool. No DMs please , won’t answer . #NeverTrustATory 💙💙💙"
2462,Lisa Tilley,Tilley101,FALSE,13073,"¡No pasarán! 
anti-colonial political ecologist/economist at SOAS
here for the comrades"
3422,MM,2SpencerRoad,FALSE,13050,"writer, flaneuse, healer, singer, xenophile"
3562,Kira Lewis,kira_millana,FALSE,12962,"Labour + Co-op Councillor for Higham Hill, @wfcouncil | @GMB_Union | Hope into belief | Cllr.Kira.Lewis@walthamforest.gov.uk 🚲 🏗🌱"
1406,Farbod,EmergencyBod,FALSE,12926,"Consultant in Emergency Medicine.

Passionate Political Beard.

Amateur gamer and Poddist:
@_theECHOchamber @theECCOchamber

Header @coldwarsteve"
1108,ella,EllaDecember,FALSE,12772,writer| arts and culture enthusiast | views are my own| simmer 👾 🌈 | mixed ethnicity Nigerian 🇳🇬 | up to something ✍️
2208,Amardeep S Dhillon,AmarDeepSinghD,FALSE,12565,Works @TWT_NOW | Co-editor @redpeppermag | Words @Independent @VICEUK @StirToAction @NewSocialistUK @theipaper...| Bartender @IvyHouseUnion | Besharam 🏳️‍🌈
1807,Virginia Tym #SolidarityWithUkraine #SaveOurNHS,TymVirginia,FALSE,12313,"Outraged by Brexit. Mourning loss of EU citizenship.  #GetPRDone
#ToriesOut   #NHSUnderfunded   #NHSActNow           ---No DMs---"
3044,J T Beckett CEng MCIBSE 💙 💚 #Antifa #BLM,carbonsaveruk,FALSE,12291,"Chartered Engineer, HVAC & Low Carbon building designer, I work in construction. Democratic socialist."
1136,.,ImReadinHere,FALSE,12265,
50,Nenyé 🎒,ceetheunknown,FALSE,11620,Yes I have albinism 🙄 | Agency-Zebedeetalent (IG) | YT- Channel Cee
2605,Alex Niven,Alex_Niven,FALSE,11504,The North Will Rise Again now exists @BloomsburyBooks
2832,Andy Ballingall #FBPE #BLM @cnapan@mastodon.green,cnapan,FALSE,11501,A software architect by trade in a land fallen to hate and lies. Hide from it or make a stand? No choice. If not me then who? 🏳️‍🌈🇪🇺🇬🇧🇩🇪🇺🇦
2455,Marina Politis (she/her),marinadpol,FALSE,11449,Med Student | Passionate about the gender health gap & LGBTQ+ health | Co-founder @PrideinHC | Climate crisis = health crisis | Former @BMJStudent Clegg scholar
2320,Tim Thomas 🍻 🇪🇺🔶 ♒️ 🇩🇰🇺🇦🚆- I 💙 NHS 💉x4,timofnewbury,FALSE,11373,"European stranded on offshore island. Likes travel, art: @ARTyIMAGE, beer: @UllageBeer and music = @zestival. I RT a lot. Cheers! @timofnewbury@mastodon.sdf.org"
2506,John E Jefferson,JohnEJefferson,FALSE,11308,Classically Bald Happy Family man.100% Socialist who fights injustice and corruption.   We live in dreadful times that are going to get worse. Screw capitalism
548,El Pato,The_Economiss,FALSE,11183,God cursed me with constipation.
1590,John Leavitt 🌹,LeavittAlone,FALSE,11125,"Writer and cartoonist. Seen in The Toast, New Yorker, The Awl, The Nib, Racked, The Rumpus, The Baffler, etc. That guy you met at that party once."
2797,RebeccaSubbiah RDN,chowandchatter,FALSE,11062,"Registered Dietitian (UK+US), Nutrition Therapist , Brit, mum, world traveler, gardener, blogger, farmer. https://t.co/7jSwaSVaWM"
1603,#Marcher,MarchersMedia,FALSE,10976,#MarcherLord reincarnated. Same nonsense
2826,Emma Clayton,Brilliant_Teams,FALSE,10916,"Chief Experience, Communications & Culture Officer. Podcast host “Knowing Me, Knowing You” Advocate for happy workplaces."
2534,Fer 🚀,gomobel,TRUE,10876,"co-founder at @AgataComms · chemistry, climate and materials #scicomm · views are my own · contact: fer@gomobel.com (he/him) 🐘 https://t.co/tDNNTV5t5v"
3201,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Why Not Scotland 🇺🇦,mckinlay_liz,FALSE,10834,"Professional beach bum/ bag wummin.Hobbies are swearing and falling over. Passions are Scottish Independence, animal rights and Palestine.Also a proud Piganeer."
120,The Essex Variant,JGerrings,FALSE,10801,"Rishi Sunak - Not my Prime Minister
#JustStopSunak #ClimateScam"
2887,Jen 🕷#FBPE #RejoinEU #LeaveALightOn #JohnsonOut,jenjeffiner,FALSE,10754,very ex Tory! want a strong opposition. Tried to stop Brexit to tell my children I tried to save their future! MUST make UK great so EU will have us back!
1278,▼ Andrew † Marco ▼,HookerMarco,FALSE,10631,"TV personality, Friend to the stars, Socialite & Executive Arts Director (EAD). For bookings & business enquiries contact @DavidJonesManagement@gmail.com - HM x"
2114,Tom Williams,shirleymush,FALSE,10575,One half of 'the communist Saint & Greavsie' on Pro-Revolution Soccer: https://t.co/PbPDEuU5dT…
777,katy 🌙,KatyGilroyBlog,FALSE,10552,"🌈 travel, books & life on the blog, freelance digital marketing elsewhere. NUFC fan & coke zero enthusiast. boycott the s*n always. 📍wallasey | 27"
975,💙🌹Buffy🌹💙 #EnoughIsEnough,buffybatik,FALSE,10545,"🌹Artist & Socialist🌹 
Mum to the @RickardSisters creators of #GraphicNovels #RaggedTrouseredPhilanthropists & #NoSurrender 

https://t.co/klzTaXdXVG"
3334,RichardS✊📚,incorbynsname,FALSE,10510,"Still the left side of 50. Husband, dad, reader. Woke except for necessary sleep. #CorbynProject #Solidarity #EndTheRipOffs #NHSNotforSale🌈"
2897,Dr K Fearnley,fearnley_k,FALSE,10502,NHS Doctor | Animal rights activist | Long Covid Research Initiative | helping to make invisible illness VISIBLE | advocate for #ME | #LongCovid | #CleanAirBill
2600,Daniel Holloway 🇺🇦,RFCdan,FALSE,10483,Emirates Society of Geosciences Chair | UAE | Imperial College London | #ReadingFC | Instagram: @RFCdan | #StandWithUkraine
3362,Digital and Tech GP,drgandalf52,FALSE,10430,"Digital GP with the intellect & geeky style of a TimeLord & the magic, presence & beard of Gandalf. @drgandalf@primarycare.app Owner eGPlearning & S1 FBUG"
156,Liska 🌸,NewMumOnline,FALSE,10424,"#Mum. Boy 11 yrs & Girl 6 years. WAS HR Manager & Yoga Teacher.  Now #pBlogger #SAHM #Vlogger  
https://t.co/PHssDG2ftU"
857,Joseph Willits,josephwillits,FALSE,10354,Parliamentary & events person at @Caabu (Council for Arab-British Understanding). From between Junction 12 & 13 of the M6 https://t.co/v4C5vgj9EN
2140,clip studio pain,freezydorito,FALSE,10308,laura 👻 the metaverse demands blood
2574,Georgina Wood,DrMusical,FALSE,10307,Consultant Sarcoma Medical Oncologist | MBBS MRCP BSc(hons) MSc PhD | RCP International faculty |@OncologyGlobal | @EveryDoctorUK | NHSingers founder
2139,Shahed Ezaydi,shahedezaydi,TRUE,10147,freelance writer | 💌: shahedezaydi@gmail.com
1777,Ken MacGregor,kendmacgregor,FALSE,10103,Based on Teesside Ken spent many years in project management .
2168,striking workers appreciator,_georgina666,FALSE,10059,guhhhhh… and I uhhhhhh…. errrr…. so I ummmmmmm
377,Dr. Thusiyan Nandakumar,Thusi_Kumar,TRUE,9993,▪️✍🏾 @TamilGuardian (on paternity leave)▪️ 🩺@NHSuk GP ▪️Views my own
1159,Dr Annabel,SoSowemimo,FALSE,9931,Sexual and Reproductive Health Doctor & Director @rjinitiative @DecoloniseContr /PhD @kingssspp/ Author #Divided publishing April ‘23 lit agent @millyreilly
1458,Benjamin,screwlabour,FALSE,9928,City data scientist. FinCrime. Shishkin/Goshen. Lib as in Disraeli. Expat Yorkshireman. Wrote something long about turbulence once. Minder of @ladyscrewlabour
1898,Ewan Gibbs is on strike,ewangibbs,FALSE,9900,"Historian of energy, industry, work and protest. Author of Coal Country. Not always entirely serious."
1053,Dr. Ruby,PaperWhispers,FALSE,9840,Scientist (PhD). Asking ALL the questions about inclusion of Black people and Black voices. Immigrant. She/Her #BlackLivesMatter
2371,Dr Gemma Ahearne,princessjack,FALSE,9839,"| Crim @LivUniSLSJ | SFHEA | 
Passionate about #DyslexicThinking, innovation, cross-faculty pedagogy and student experience | Christian | Dogs 🙏🌈🌱☮✌🎀🐶🐎🦊"
40,Dr Gemma Ahearne,princessjack,FALSE,9838,"| Crim @LivUniSLSJ | SFHEA | 
Passionate about #DyslexicThinking, innovation, cross-faculty pedagogy and student experience | Christian | Dogs 🙏🌈🌱☮✌🎀🐶🐎🦊"
2780,Paul Blinkhorn (CEO Atlantis Artefact Storage Co),R1100GSBlueNose,FALSE,9740,"Archaeologist/Pot Monkey. Old school lefty. Hates Tories. Likes Belgian Beer, Venus Fly Traps, RL, + Music. Has motorcycle. Usually sweary, often very sweary."
668,Darren Johnson,DarrenJohnson66,FALSE,9525,"Writer. Blogger. Freelancer. Semi-pro glamologist. 

Book: 'Suzi Quatro in the 1970s' out now via @SonicbondP"
360,ᡕᠵ᠊ᡃ່࡚ࠢ࠘ ⸝່ࠡࠣ᠊߯᠆ࠣ࠘ᡁࠣ࠘᠊᠊ࠢ࠘𐡏- - - - - ♡,leobotomy,FALSE,9446,the moons my teacher and im her student
390,happy flowers team,ManCityKD,FALSE,9423,"kiss me where the sun don't shine, the past was yours, the future is mine. @ManCity @Raptors"
1411,Sandra Laville,sandralaville,FALSE,9360,"Sandra Laville, senior correspondent for The Guardian. Visiting fellow @bournemouthuni"
1513,Kang’s Kween,Prxscillaidk,FALSE,9357,Part Time Comedianne
1491,Jasnah Kholin - 8964 - ACAB - 💉💉💉💉,wanderer_jasnah,FALSE,9346,HKer. RNA Virologist working on nidovirus/immune system interactions. Insomniac. Life before death. Journey before destination.　一个健康的社會不該只有一種聲音.　解散警隊. ★ she/佢 ★
1399,edudiaz,edudiaz,FALSE,9328,"Domador de wikis i tweetellaire
#Antimilitarisme
L'1O és vinculant! ||☆|| 
Democràcia directa i Desobediència civil
#noviolencia
Mastodon:@edudiaz@mastodont.cat"
557,Elsbeth Tashioni,THISisLULE,FALSE,9285,"Lupita Nyong’o stan account. I just wanna do hoodrat shit with my friends. Try Jesus, don't try me."
1728,Hamza,Hamza_a96,FALSE,9265,Palestinian | Writer/political researcher | Words in: @tribunemagazine @novaramedia @Dazed @BylineTimes @LeftFootFwd @The_NewArab | YNWA
1478,Aurelien Mondon,aurelmondon,FALSE,9088,"Researching racism, populism & mainstreaming of far right - co-ed @jlanpol
- 
📚 Reactionary Democracy w. @aaronzwinter ➡️ https://t.co/ngipXOHVvS 📚
- 
he/him"
1487,UK Politics Live,UKPoliticsLive,FALSE,8984,"Tweeting politics news and content from the UK and abroad. Editor of the UKPoliticsLive blog on Great British Politics. Fan of the BBC, but not the BBC."
2234,@thiz follow thank you,Chiz5010,FALSE,8783,【出身】Kyoto city Kanazawa 【green】 【intentional community】【MusicalMovie】【Cooks】【御朱印】【野球】【Utopian】【ADHD】【anime】 ★ RTは賛同にあらず ★ 人見知りだが、世界中の人と話したいです。 高校時代はダンス部に所属。
914,alice,alicegregan,FALSE,8760,she/her
1571,Zara B,zaranosaur,FALSE,8733,tired | some kind of philosopher | founder/director @AAT_transcribes | prev @phdisabled | she/her
1925,"Keletso Makofane, MPH, PhD",klts0,FALSE,8723,Social Networks+Care+Causal Inference. Fellow @FXBHarvard.  Board @GBGMC_Int + @lvctKe. Tweets are just a first draft of thoughts.
1692,Ansh,Ansh__95,FALSE,8585,"I play sports, video games and make music 🤔"
2442,Dr Emily Garside,EmiGarside,FALSE,8569,"Writer & professional nerd. 
(seeking representation) 
Your Queer Activist Aunt putting the A in LGBTQIA+ 
Views are just mine. 
She/Her"
486,Brendan O'Kelly,yllekonadnerb,FALSE,8543,"Irish; B.Ed., https://t.co/GgK5LY9C7Z (Sociology/Epistemology, London) interests include, Natural Law, Art, Archaeology, History, Nature, Natural Law, Theatre+ Film, BDS supporter"
2715,Peter English #FBPE,petermbenglish,FALSE,8469,"Public health Dr, recently retired. Interests in vaccination and health intelligence. Tweets may not even express my own views!"
564,Jocalyn Clark,jocalynclark,TRUE,8363,International Editor @bmj_latest Former @TheLancet @PLOSMedicine @icddr_b  Adj prof @UofTMed @UCLGlobalHealth Canadian in London 🇨🇦🇬🇧 #TeamLH Views my own.
370,ellie 🔮🧚,sunlightsappho,FALSE,8345,"tumblr veteran, coffee shop haunter, aspiring writer and wife"
731,big money salvia,kahtrinuh,FALSE,8320,"ain't no fun if the aliens can't have none.
сви полицајци су копилад
she/her
@thottypraxis (18+)"
3592,DoctorsVote 🦀 #BMADoctorsVoteYes,Doctors_Vote,FALSE,8308,A campaign group of doctors across the country who are seeking #PayRestoration
